Customer ID,Job Classification
100000159,White Collar
100000160,White Collar
100000161,White Collar
100000162,Other
100000163,White Collar
200000164,Other
200000165,Blue Collar
200000166,Blue Collar
300000167,Blue Collar
300000168,White Collar
100000169,Blue Collar
100000170,Other
100000171,White Collar
100000172,Blue Collar
100000173,White Collar
100000174,White Collar
100000175,White Collar
100000176,White Collar
100000177,White Collar
100000178,Blue Collar
100000179,Blue Collar
400000180,Blue Collar
100000181,White Collar
100000182,White Collar
100000183,White Collar
100000184,Other
100000185,Other
200000186,Other
100000187,White Collar
100000188,White Collar
100000189,White Collar
100000190,Other
200000191,Blue Collar
100000192,White Collar
100000193,Other
100000194,White Collar
100000195,White Collar
100000196,White Collar
100000197,Blue Collar
100000198,White Collar
100000199,Blue Collar
100000200,White Collar
100000201,Other
100000202,White Collar
100000203,White Collar
100000204,White Collar
100000205,Blue Collar
100000206,White Collar
100000207,White Collar
100000208,White Collar
100000209,Blue Collar
200000210,Blue Collar
100000211,White Collar
100000212,White Collar
100000213,Blue Collar
100000214,Other
100000215,Blue Collar
100000216,White Collar
100000217,White Collar
100000218,White Collar
100000219,White Collar
100000220,Other
100000221,Blue Collar
100000222,White Collar
100000223,White Collar
100000224,White Collar
100000225,White Collar
100000226,White Collar
100000227,Other
100000228,White Collar
100000229,White Collar
100000230,White Collar
100000231,White Collar
100000232,Blue Collar
100000233,White Collar
100000234,White Collar
100000235,White Collar
100000236,White Collar
100000237,White Collar
300000238,Other
100000239,White Collar
100000240,White Collar
100000241,White Collar
100000242,Blue Collar
100000243,Blue Collar
100000244,White Collar
100000245,White Collar
100000246,White Collar
100000247,White Collar
100000248,White Collar
100000249,White Collar
100000250,Blue Collar
100000251,White Collar
100000252,White Collar
100000253,White Collar
100000254,White Collar
100000255,Blue Collar
200000256,Blue Collar
200000257,Blue Collar
200000258,Other
200000259,Other
200000260,Blue Collar
200000261,Blue Collar
200000262,Other
200000263,Other
200000264,Other
200000265,Blue Collar
200000266,Other
200000267,Other
300000268,Blue Collar
300000269,Other
300000270,Other
300000271,White Collar
400000272,White Collar
100000273,White Collar
100000274,Other
100000275,White Collar
100000276,Blue Collar
100000277,White Collar
100000278,Blue Collar
100000279,White Collar
100000280,Other
100000281,Blue Collar
100000282,White Collar
100000283,White Collar
100000284,White Collar
100000285,White Collar
100000286,Other
100000287,White Collar
100000288,White Collar
100000289,White Collar
100000290,White Collar
100000291,White Collar
100000292,White Collar
100000293,Other
100000294,Other
200000295,Blue Collar
100000296,White Collar
100000297,White Collar
100000298,White Collar
100000299,White Collar
200000300,Blue Collar
200000301,Blue Collar
300000302,Blue Collar
100000303,Blue Collar
100000304,White Collar
100000305,White Collar
100000306,White Collar
100000307,Blue Collar
100000308,White Collar
100000309,White Collar
100000310,White Collar
100000311,Blue Collar
100000312,Blue Collar
100000313,White Collar
100000314,White Collar
100000315,Other
100000316,White Collar
100000317,White Collar
100000318,Blue Collar
100000319,White Collar
100000320,White Collar
100000321,Blue Collar
100000322,Other
100000323,White Collar
100000324,White Collar
100000325,Other
100000326,White Collar
100000327,Other
100000328,White Collar
100000329,White Collar
100000330,White Collar
100000331,White Collar
100000332,White Collar
200000333,Blue Collar
100000334,White Collar
100000335,Blue Collar
100000336,White Collar
100000337,White Collar
100000338,White Collar
200000339,Other
300000340,White Collar
100000341,White Collar
100000342,White Collar
100000343,White Collar
100000344,White Collar
100000345,White Collar
100000346,White Collar
200000347,Other
200000348,Other
200000349,Blue Collar
200000350,Blue Collar
300000351,Blue Collar
200000352,White Collar
200000353,Blue Collar
200000354,Other
200000355,Blue Collar
200000356,Blue Collar
300000357,Other
300000358,Blue Collar
400000359,Other
100000360,White Collar
200000361,Blue Collar
200000362,White Collar
200000363,Blue Collar
300000364,White Collar
300000365,Other
300000366,White Collar
300000367,White Collar
400000368,Other
100000369,White Collar
200000370,Other
200000371,Other
200000372,Blue Collar
200000373,Blue Collar
300000374,Blue Collar
300000375,Other
400000376,Other
100000377,Other
100000378,White Collar
100000379,Other
100000380,White Collar
100000381,White Collar
100000382,Other
100000383,White Collar
200000384,Other
200000385,Blue Collar
200000386,Other
200000387,Blue Collar
200000388,Blue Collar
200000389,Blue Collar
200000390,Blue Collar
200000391,Blue Collar
300000392,Other
300000393,Other
300000394,Blue Collar
300000395,Other
400000396,Blue Collar
400000397,Other
400000398,Other
400000399,Other
100000400,White Collar
100000401,White Collar
100000402,White Collar
100000403,White Collar
100000404,White Collar
100000405,White Collar
200000406,Blue Collar
200000407,Other
200000408,Blue Collar
300000409,Other
300000410,White Collar
300000411,White Collar
100000412,White Collar
100000413,Blue Collar
200000414,Other
200000415,Blue Collar
200000416,Blue Collar
200000417,Blue Collar
300000418,White Collar
400000419,Other
100000420,White Collar
100000421,Other
100000422,White Collar
100000423,White Collar
200000424,Blue Collar
200000425,Other
200000426,Blue Collar
300000427,White Collar
300000428,White Collar
300000429,Other
300000430,White Collar
400000431,White Collar
400000432,Other
400000433,White Collar
400000434,Other
100000435,White Collar
100000436,Other
100000437,Blue Collar
200000438,White Collar
300000439,Blue Collar
300000440,White Collar
400000441,Blue Collar
400000442,Other
100000443,White Collar
100000444,Blue Collar
100000445,White Collar
100000446,White Collar
200000447,Blue Collar
200000448,Blue Collar
400000449,White Collar
400000450,Blue Collar
100000451,Blue Collar
100000452,White Collar
100000453,White Collar
100000454,Other
100000455,Blue Collar
100000456,White Collar
200000457,Blue Collar
200000458,Blue Collar
200000459,Other
200000460,Other
200000461,White Collar
200000462,Other
200000463,Blue Collar
200000464,Blue Collar
200000465,Other
300000466,White Collar
300000467,Other
300000468,Other
300000469,Blue Collar
400000470,White Collar
400000471,White Collar
400000472,Other
400000473,Other
400000474,White Collar
100000475,White Collar
100000476,White Collar
100000477,White Collar
100000478,White Collar
200000479,Other
200000480,Blue Collar
200000481,Blue Collar
200000482,White Collar
200000483,Other
200000484,Blue Collar
200000485,White Collar
200000486,Blue Collar
300000487,White Collar
400000488,Other
100000489,White Collar
200000490,Other
200000491,Blue Collar
200000492,Blue Collar
200000493,Blue Collar
300000494,White Collar
300000495,White Collar
300000496,Other
400000497,White Collar
100000498,Blue Collar
100000499,Other
100000500,Other
100000501,White Collar
100000502,White Collar
200000503,Blue Collar
200000504,White Collar
200000505,Blue Collar
200000506,Blue Collar
200000507,Blue Collar
200000508,Other
300000509,White Collar
300000510,White Collar
300000511,Blue Collar
300000512,White Collar
400000513,Other
400000514,Other
400000515,White Collar
400000516,Other
400000517,Other
100000518,Blue Collar
100000519,White Collar
100000520,White Collar
100000521,Blue Collar
200000522,White Collar
200000523,Blue Collar
300000524,White Collar
300000525,Blue Collar
300000526,Other
300000527,White Collar
300000528,Other
300000529,White Collar
300000530,White Collar
300000531,White Collar
200000532,Blue Collar
200000533,Other
200000534,Blue Collar
200000535,Blue Collar
200000536,Blue Collar
200000537,Other
200000538,Blue Collar
300000539,Blue Collar
400000540,Other
400000541,Blue Collar
100000542,White Collar
100000543,White Collar
100000544,White Collar
100000545,Blue Collar
100000546,Blue Collar
100000547,White Collar
200000548,Other
200000549,Other
300000550,Blue Collar
300000551,Other
300000552,White Collar
300000553,Blue Collar
400000554,Other
400000555,Other
400000556,Other
400000557,Other
100000558,Other
100000559,White Collar
100000560,Other
100000561,White Collar
100000562,White Collar
100000563,Blue Collar
100000564,White Collar
100000565,Other
100000566,White Collar
100000567,White Collar
100000568,White Collar
100000569,White Collar
100000570,Other
100000571,White Collar
100000572,White Collar
100000573,White Collar
100000574,Other
100000575,White Collar
100000576,White Collar
100000577,Other
100000578,Blue Collar
200000579,Other
200000580,Other
200000581,Blue Collar
200000582,Blue Collar
200000583,Other
200000584,Blue Collar
200000585,Other
200000586,Blue Collar
200000587,Blue Collar
200000588,Blue Collar
200000589,Blue Collar
200000590,Blue Collar
200000591,Blue Collar
300000592,White Collar
300000593,Other
300000594,White Collar
300000595,Blue Collar
300000596,White Collar
300000597,White Collar
300000598,Blue Collar
300000599,White Collar
400000600,Other
400000601,Blue Collar
400000602,White Collar
100000603,White Collar
100000604,White Collar
100000605,White Collar
100000606,White Collar
200000607,White Collar
200000608,Other
200000609,Other
200000610,Blue Collar
300000611,Blue Collar
300000612,White Collar
300000613,White Collar
300000614,Blue Collar
300000615,Other
100000616,White Collar
100000617,Blue Collar
100000618,White Collar
200000619,Blue Collar
200000620,Blue Collar
200000621,Blue Collar
200000622,White Collar
200000623,Other
300000624,Blue Collar
400000625,White Collar
100000626,White Collar
100000627,White Collar
100000628,White Collar
200000629,Other
200000630,Blue Collar
200000631,Blue Collar
200000632,Blue Collar
300000633,White Collar
300000634,White Collar
300000635,White Collar
300000636,White Collar
300000637,White Collar
400000638,Blue Collar
400000639,White Collar
100000640,Blue Collar
100000641,Other
100000642,Blue Collar
100000643,Other
200000644,Blue Collar
200000645,Other
200000646,Blue Collar
200000647,Other
200000648,Blue Collar
200000649,Blue Collar
300000650,Blue Collar
300000651,White Collar
300000652,White Collar
400000653,White Collar
400000654,Other
100000655,White Collar
100000656,Other
100000657,White Collar
200000658,Other
200000659,Blue Collar
200000660,Blue Collar
200000661,Blue Collar
200000662,Blue Collar
200000663,Other
200000664,White Collar
200000665,Other
300000666,Blue Collar
300000667,White Collar
300000668,White Collar
200000669,Blue Collar
200000670,Blue Collar
200000671,Other
200000672,Other
200000673,Other
200000674,Blue Collar
300000675,Blue Collar
400000676,Other
100000677,White Collar
100000678,White Collar
100000679,White Collar
100000680,Blue Collar
200000681,Other
200000682,Other
200000683,Blue Collar
200000684,Blue Collar
300000685,Blue Collar
300000686,Blue Collar
300000687,Other
300000688,White Collar
300000689,White Collar
400000690,Other
400000691,White Collar
400000692,Other
100000693,White Collar
100000694,White Collar
100000695,White Collar
200000696,Other
200000697,Other
200000698,Blue Collar
200000699,Other
200000700,Blue Collar
200000701,Other
300000702,White Collar
300000703,White Collar
300000704,White Collar
300000705,White Collar
400000706,White Collar
100000707,White Collar
100000708,White Collar
100000709,White Collar
100000710,White Collar
200000711,Other
200000712,Blue Collar
200000713,Blue Collar
200000714,Other
200000715,Blue Collar
200000716,White Collar
300000717,White Collar
300000718,White Collar
300000719,White Collar
400000720,White Collar
400000721,White Collar
100000722,White Collar
100000723,White Collar
100000724,White Collar
200000725,Blue Collar
200000726,Other
200000727,Other
200000728,Other
300000729,Blue Collar
300000730,White Collar
300000731,White Collar
300000732,Blue Collar
300000733,Blue Collar
300000734,White Collar
300000735,Other
300000736,Blue Collar
400000737,Other
400000738,Other
400000739,Other
400000740,Blue Collar
400000741,Other
100000742,White Collar
100000743,Other
100000744,White Collar
100000745,White Collar
100000746,Other
200000747,Blue Collar
200000748,Blue Collar
200000749,Blue Collar
200000750,Other
200000751,Blue Collar
300000752,White Collar
300000753,Other
400000754,Other
400000755,Other
400000756,Other
400000757,Other
400000758,White Collar
400000759,White Collar
100000760,White Collar
100000761,White Collar
200000762,Other
200000763,White Collar
200000764,Other
200000765,Blue Collar
200000766,Blue Collar
300000767,White Collar
300000768,Other
400000769,White Collar
400000770,White Collar
100000771,White Collar
100000772,White Collar
100000773,Other
200000774,Blue Collar
200000775,Blue Collar
300000776,Other
300000777,White Collar
300000778,Blue Collar
300000779,White Collar
400000780,Blue Collar
100000781,Other
100000782,White Collar
100000783,White Collar
200000784,Blue Collar
200000785,White Collar
300000786,Blue Collar
300000787,Blue Collar
100000788,White Collar
100000789,White Collar
100000790,White Collar
200000791,White Collar
200000792,Blue Collar
200000793,Other
300000794,White Collar
400000795,Other
100000796,White Collar
100000797,Blue Collar
100000798,Other
200000799,Blue Collar
200000800,Blue Collar
200000801,White Collar
200000802,Other
200000803,Blue Collar
200000804,White Collar
200000805,Other
100000806,White Collar
100000807,White Collar
100000808,White Collar
100000809,White Collar
200000810,Other
200000811,Other
300000812,White Collar
300000813,White Collar
300000814,Other
300000815,White Collar
100000816,White Collar
100000817,White Collar
100000818,White Collar
200000819,Other
200000820,Blue Collar
200000821,Blue Collar
300000822,Blue Collar
100000823,Blue Collar
100000824,White Collar
100000825,Other
100000826,White Collar
100000827,White Collar
200000828,Other
400000829,Other
400000830,White Collar
100000831,White Collar
100000832,White Collar
200000833,Blue Collar
200000834,Other
100000835,White Collar
100000836,White Collar
400000837,White Collar
100000838,White Collar
100000839,White Collar
100000840,White Collar
100000841,Other
200000842,Blue Collar
200000843,Blue Collar
200000844,Other
300000845,Blue Collar
100000846,Blue Collar
100000847,White Collar
100000848,White Collar
100000849,White Collar
100000850,Blue Collar
100000851,White Collar
300000852,White Collar
100000853,White Collar
100000854,White Collar
200000855,Blue Collar
200000856,Blue Collar
300000857,Blue Collar
100000858,Blue Collar
100000859,White Collar
100000860,White Collar
100000861,Blue Collar
100000862,Other
200000863,Other
200000864,Blue Collar
200000865,Other
200000866,Blue Collar
100000867,White Collar
100000868,White Collar
100000869,White Collar
100000870,White Collar
100000871,White Collar
100000872,White Collar
100000873,White Collar
100000874,White Collar
100000875,White Collar
100000876,White Collar
100000877,White Collar
100000878,White Collar
100000879,White Collar
100000880,Blue Collar
100000881,Blue Collar
100000882,White Collar
100000883,White Collar
100000884,White Collar
100000885,White Collar
200000886,Blue Collar
200000887,Other
300000888,White Collar
100000889,White Collar
100000890,Blue Collar
100000891,Other
100000892,White Collar
100000893,White Collar
100000894,Other
100000895,White Collar
200000896,Blue Collar
200000897,Blue Collar
100000898,White Collar
100000899,Blue Collar
100000900,White Collar
100000901,White Collar
100000902,White Collar
200000903,Other
200000904,Blue Collar
300000905,Other
100000906,White Collar
100000907,White Collar
100000908,White Collar
200000909,Other
200000910,Blue Collar
200000911,Other
200000912,Other
300000913,Blue Collar
400000914,Blue Collar
400000915,Other
400000916,White Collar
100000917,Other
100000918,White Collar
100000919,White Collar
100000920,Other
100000921,White Collar
100000922,White Collar
100000923,White Collar
200000924,Other
100000925,White Collar
100000926,White Collar
100000927,White Collar
100000928,White Collar
100000929,White Collar
100000930,White Collar
100000931,White Collar
100000932,White Collar
100000933,Blue Collar
100000934,White Collar
100000935,Other
100000936,White Collar
100000937,Blue Collar
200000938,Blue Collar
200000939,Other
200000940,Blue Collar
200000941,Blue Collar
200000942,White Collar
200000943,Other
200000944,Other
200000945,Blue Collar
200000946,Blue Collar
200000947,Other
200000948,White Collar
200000949,Other
200000950,Blue Collar
300000951,Blue Collar
300000952,White Collar
300000953,Blue Collar
300000954,White Collar
400000955,White Collar
400000956,White Collar
100000957,Other
100000958,White Collar
100000959,Blue Collar
100000960,White Collar
200000961,Other
200000962,Blue Collar
200000963,Other
200000964,Blue Collar
200000965,Blue Collar
300000966,Blue Collar
300000967,White Collar
100000968,White Collar
100000969,White Collar
100000970,White Collar
100000971,White Collar
100000972,White Collar
100000973,Other
200000974,Other
200000975,Blue Collar
200000976,Other
200000977,Other
300000978,White Collar
300000979,White Collar
100000980,White Collar
100000981,Other
100000982,White Collar
200000983,Other
200000984,Other
200000985,Blue Collar
200000986,Blue Collar
200000987,Blue Collar
400000988,White Collar
100000989,Other
100000990,Blue Collar
100000991,White Collar
200000992,Blue Collar
300000993,Blue Collar
300000994,Blue Collar
100000995,Other
100000996,White Collar
100000997,White Collar
100000998,Other
200000999,Other
400001000,Other
400001001,Other
100001002,White Collar
100001003,Blue Collar
100001004,White Collar
100001005,White Collar
100001006,Blue Collar
100001007,Blue Collar
300001008,Blue Collar
300001009,Blue Collar
300001010,Other
100001011,White Collar
100001012,Blue Collar
100001013,White Collar
100001014,White Collar
100001015,White Collar
100001016,White Collar
100001017,White Collar
100001018,White Collar
200001019,Blue Collar
200001020,Other
200001021,Blue Collar
400001022,White Collar
100001023,White Collar
100001024,Blue Collar
100001025,White Collar
100001026,White Collar
100001027,Other
100001028,White Collar
100001029,White Collar
200001030,Other
200001031,Other
200001032,Blue Collar
300001033,White Collar
300001034,Blue Collar
400001035,Blue Collar
100001036,White Collar
100001037,Other
100001038,White Collar
100001039,White Collar
100001040,White Collar
100001041,White Collar
200001042,Blue Collar
200001043,Blue Collar
200001044,Other
200001045,Other
200001046,Blue Collar
300001047,Other
300001048,White Collar
100001049,White Collar
100001050,White Collar
100001051,White Collar
200001052,Blue Collar
200001053,Blue Collar
100001054,White Collar
100001055,White Collar
100001056,White Collar
100001057,Other
100001058,White Collar
200001059,Blue Collar
200001060,Other
200001061,Other
200001062,Other
300001063,White Collar
300001064,Other
100001065,White Collar
100001066,White Collar
100001067,Blue Collar
100001068,Blue Collar
200001069,Blue Collar
200001070,Blue Collar
200001071,White Collar
400001072,Other
100001073,White Collar
100001074,White Collar
100001075,Blue Collar
100001076,Blue Collar
200001077,Other
200001078,Blue Collar
300001079,Blue Collar
300001080,Blue Collar
300001081,White Collar
400001082,Other
100001083,White Collar
100001084,White Collar
100001085,White Collar
200001086,Blue Collar
200001087,Other
200001088,Blue Collar
100001089,Other
100001090,Other
100001091,White Collar
100001092,White Collar
100001093,White Collar
100001094,Other
100001095,Other
100001096,Blue Collar
100001097,Other
100001098,Blue Collar
200001099,White Collar
200001100,Other
200001101,Blue Collar
200001102,Other
200001103,Other
300001104,Blue Collar
300001105,Blue Collar
100001106,Blue Collar
100001107,White Collar
100001108,White Collar
100001109,White Collar
100001110,White Collar
100001111,White Collar
100001112,White Collar
100001113,Other
100001114,White Collar
200001115,Blue Collar
200001116,Blue Collar
200001117,Other
200001118,Other
300001119,Blue Collar
300001120,White Collar
100001121,White Collar
100001122,Other
100001123,White Collar
100001124,White Collar
100001125,White Collar
100001126,White Collar
200001127,Blue Collar
200001128,Blue Collar
200001129,White Collar
300001130,White Collar
300001131,White Collar
100001132,White Collar
100001133,White Collar
100001134,White Collar
100001135,White Collar
200001136,Other
200001137,White Collar
200001138,Other
300001139,Other
400001140,White Collar
100001141,Other
100001142,White Collar
100001143,Other
100001144,White Collar
100001145,Blue Collar
200001146,Other
200001147,Blue Collar
200001148,Blue Collar
200001149,Blue Collar
200001150,Blue Collar
300001151,White Collar
100001152,White Collar
100001153,White Collar
100001154,White Collar
100001155,Blue Collar
100001156,White Collar
100001157,White Collar
100001158,White Collar
100001159,White Collar
200001160,Blue Collar
200001161,Other
200001162,Blue Collar
200001163,Blue Collar
200001164,Blue Collar
300001165,White Collar
100001166,White Collar
100001167,Other
100001168,White Collar
100001169,Blue Collar
100001170,White Collar
100001171,White Collar
100001172,Other
100001173,White Collar
100001174,White Collar
100001175,White Collar
100001176,White Collar
100001177,White Collar
100001178,Blue Collar
200001179,Other
200001180,Other
200001181,Blue Collar
200001182,Other
200001183,Blue Collar
300001184,White Collar
300001185,White Collar
300001186,White Collar
400001187,White Collar
100001188,Other
100001189,Other
100001190,White Collar
100001191,White Collar
100001192,Other
100001193,White Collar
100001194,White Collar
100001195,White Collar
100001196,White Collar
100001197,Blue Collar
200001198,Other
200001199,Blue Collar
200001200,White Collar
200001201,Other
200001202,Blue Collar
300001203,White Collar
300001204,White Collar
300001205,White Collar
100001206,Blue Collar
100001207,Blue Collar
100001208,Other
100001209,Blue Collar
100001210,White Collar
100001211,White Collar
100001212,White Collar
100001213,Other
200001214,Other
200001215,Blue Collar
300001216,White Collar
300001217,Other
300001218,Other
400001219,Other
100001220,White Collar
100001221,Blue Collar
100001222,White Collar
100001223,White Collar
100001224,Other
100001225,White Collar
100001226,Blue Collar
100001227,Blue Collar
100001228,White Collar
200001229,Other
200001230,Blue Collar
200001231,Other
200001232,Blue Collar
300001233,Other
400001234,Other
100001235,White Collar
100001236,Blue Collar
100001237,Blue Collar
100001238,Other
100001239,White Collar
100001240,White Collar
100001241,Blue Collar
100001242,White Collar
100001243,White Collar
100001244,White Collar
200001245,Other
200001246,Other
200001247,Other
100001248,Other
100001249,Other
100001250,White Collar
200001251,Blue Collar
200001252,Blue Collar
200001253,Other
300001254,White Collar
300001255,White Collar
300001256,White Collar
100001257,White Collar
100001258,White Collar
200001259,Blue Collar
200001260,Blue Collar
200001261,Blue Collar
300001262,White Collar
300001263,White Collar
300001264,Blue Collar
100001265,Blue Collar
100001266,White Collar
100001267,White Collar
100001268,Blue Collar
100001269,White Collar
100001270,Other
200001271,Other
200001272,Other
200001273,Other
100001274,White Collar
100001275,White Collar
100001276,White Collar
100001277,White Collar
100001278,Blue Collar
100001279,Blue Collar
100001280,Other
100001281,White Collar
200001282,White Collar
200001283,Blue Collar
300001284,White Collar
300001285,White Collar
300001286,White Collar
100001287,White Collar
100001288,White Collar
100001289,White Collar
100001290,White Collar
100001291,White Collar
100001292,White Collar
100001293,White Collar
100001294,Other
200001295,Other
200001296,White Collar
400001297,Other
100001298,White Collar
100001299,White Collar
100001300,Other
100001301,White Collar
100001302,White Collar
100001303,White Collar
100001304,Blue Collar
100001305,Blue Collar
100001306,Blue Collar
100001307,White Collar
100001308,White Collar
100001309,White Collar
100001310,White Collar
100001311,Blue Collar
100001312,White Collar
100001313,Blue Collar
100001314,White Collar
100001315,White Collar
100001316,White Collar
100001317,Blue Collar
100001318,Blue Collar
100001319,Blue Collar
100001320,White Collar
100001321,White Collar
100001322,White Collar
100001323,White Collar
100001324,White Collar
100001325,White Collar
200001326,Other
200001327,Other
200001328,Blue Collar
200001329,Other
200001330,White Collar
200001331,Other
200001332,Blue Collar
200001333,Blue Collar
200001334,Other
200001335,Blue Collar
300001336,White Collar
300001337,White Collar
300001338,White Collar
300001339,Other
300001340,Other
300001341,White Collar
400001342,Other
400001343,Other
400001344,Other
100001345,White Collar
100001346,White Collar
100001347,White Collar
100001348,White Collar
100001349,White Collar
200001350,Blue Collar
200001351,Blue Collar
200001352,Other
300001353,White Collar
300001354,White Collar
400001355,Other
100001356,White Collar
100001357,White Collar
100001358,Other
100001359,White Collar
100001360,White Collar
200001361,Other
100001362,Blue Collar
100001363,White Collar
100001364,Blue Collar
100001365,White Collar
100001366,Blue Collar
100001367,Blue Collar
100001368,White Collar
100001369,White Collar
100001370,Other
100001371,White Collar
100001372,White Collar
100001373,White Collar
200001374,Blue Collar
200001375,Other
200001376,Other
200001377,Blue Collar
200001378,Blue Collar
200001379,Blue Collar
400001380,White Collar
100001381,Blue Collar
100001382,White Collar
100001383,White Collar
100001384,White Collar
100001385,White Collar
100001386,White Collar
100001387,White Collar
100001388,White Collar
200001389,Blue Collar
200001390,Blue Collar
200001391,Blue Collar
300001392,White Collar
400001393,Blue Collar
100001394,Other
100001395,White Collar
100001396,Blue Collar
100001397,White Collar
100001398,White Collar
100001399,White Collar
100001400,White Collar
100001401,Other
200001402,Blue Collar
200001403,Blue Collar
200001404,Other
200001405,Blue Collar
200001406,Other
200001407,Other
300001408,White Collar
300001409,White Collar
300001410,White Collar
300001411,White Collar
300001412,White Collar
400001413,Other
100001414,Other
100001415,White Collar
100001416,White Collar
100001417,Blue Collar
100001418,White Collar
100001419,White Collar
100001420,White Collar
100001421,White Collar
100001422,Other
200001423,Other
200001424,Blue Collar
300001425,White Collar
400001426,Other
100001427,White Collar
100001428,White Collar
100001429,White Collar
100001430,Other
100001431,White Collar
100001432,White Collar
100001433,White Collar
100001434,Blue Collar
200001435,Blue Collar
200001436,Blue Collar
200001437,Other
200001438,White Collar
200001439,Other
200001440,Blue Collar
200001441,Other
300001442,White Collar
300001443,White Collar
300001444,Blue Collar
100001445,Other
100001446,White Collar
100001447,White Collar
100001448,Blue Collar
100001449,Other
200001450,Other
200001451,Other
200001452,Blue Collar
200001453,Other
200001454,Other
200001455,Blue Collar
300001456,White Collar
400001457,White Collar
100001458,White Collar
100001459,White Collar
100001460,White Collar
100001461,White Collar
100001462,White Collar
200001463,Other
200001464,Other
300001465,White Collar
300001466,Blue Collar
400001467,Blue Collar
400001468,White Collar
100001469,Blue Collar
100001470,Blue Collar
100001471,White Collar
100001472,Blue Collar
100001473,Other
100001474,Blue Collar
100001475,White Collar
200001476,Blue Collar
200001477,Blue Collar
200001478,Blue Collar
200001479,Other
300001480,Blue Collar
300001481,White Collar
100001482,White Collar
100001483,White Collar
100001484,White Collar
100001485,White Collar
200001486,Other
200001487,Other
200001488,Other
200001489,White Collar
300001490,White Collar
100001491,Other
100001492,White Collar
100001493,Blue Collar
100001494,White Collar
100001495,White Collar
100001496,White Collar
100001497,White Collar
100001498,White Collar
200001499,Blue Collar
200001500,Blue Collar
200001501,Blue Collar
200001502,Blue Collar
400001503,Blue Collar
100001504,Other
100001505,White Collar
100001506,White Collar
100001507,White Collar
100001508,White Collar
100001509,White Collar
200001510,Blue Collar
200001511,Other
200001512,Blue Collar
300001513,Blue Collar
100001514,Blue Collar
100001515,Other
100001516,White Collar
200001517,Other
200001518,Other
200001519,Other
300001520,Other
400001521,Other
400001522,Other
400001523,Blue Collar
100001524,White Collar
100001525,White Collar
100001526,Other
100001527,White Collar
300001528,White Collar
300001529,Other
300001530,Other
400001531,Blue Collar
100001532,Blue Collar
100001533,White Collar
100001534,Blue Collar
100001535,White Collar
100001536,White Collar
100001537,White Collar
300001538,White Collar
300001539,White Collar
100001540,Other
100001541,Other
100001542,Other
100001543,White Collar
100001544,White Collar
